track_id,hit_id
144,"[4956, 4001, 5034, 4080, 5109, 4154, 5182, 4246, 28921, 30662, 25633, 25768, 25905, 26033]"
145,"[4954, 4007, 4085, 4160, 4254, 28930, 25648]"
146,"[4132, 4225, 4313, 28914, 29022, 25757, 25896, 26021, 26132]"
147,"[5142, 4204, 4373, 4458, 29110, 29227]"
148,"[5206, 4267, 5277, 4356, 5354, 5431, 30853, 30980, 31106, 26091, 26182, 26281, 26393]"
149,"[5262, 4341, 5337, 4430, 5416, 4516, 29214, 30969, 29328, 31101, 29448, 31235, 26162, 26262, 26371]"
150,"[4543, 4619, 4694, 4761, 4828, 25158, 26937, 25238, 27003, 25321, 27075, 25407, 27155, 65030, 65086, 65136, 82146, 82185, 93981]"
151,"[4561, 4634, 4704, 4771, 25091, 26878, 25169, 26941, 25244, 27010, 27084, 65033, 65089, 82149, 82187, 94104]"
152,"[103714, 4564, 4643]"
153,"[103719, 4566, 4649, 4720, 24978, 25054, 25131, 53226, 81926, 81961, 93819, 241947, 245416, 249658]"
154,"[104482, 4599, 26727, 26793, 26855, 26915]"
155,"[4606, 5499, 4682, 5574, 4745, 5644, 4816, 4881, 26920, 26989, 27064, 27142, 65070, 65123, 65177, 82338]"
156,"[4607, 4681, 4741, 4811, 4879, 26980, 27052, 27129, 27203, 65104, 65157, 65215, 82357]"
157,"[4608, 4688, 4759, 4829, 25099, 26881, 26950, 27021, 53409, 65001, 65056, 82307, 82331, 94091, 249423]"
158,"[4667, 4732, 4807, 4874, 4944, 25214, 26979, 25294, 27054, 25387, 27134, 25473, 27210, 65114, 65170, 82207, 94109]"
159,"[4672, 5565, 4737, 5639, 5708, 5772, 26991, 27065, 27145, 65560, 65610, 82499, 94219, 94245]"
160,"[4676, 4742, 4820, 25162, 26940, 25240, 27008, 27086, 65031, 65088]"
161,"[4780, 5678, 5744, 5802, 5867, 28796, 27103, 28868, 27182, 28976, 27285, 29091, 27407]"
162,"[4843, 5729, 4910, 5793, 4987, 5070, 27175, 27282, 27403, 65184, 65242, 65304, 82379, 82420]"
163,"[4870, 4939, 27045]"
164,"[4904, 4979, 5062, 25419, 27167, 27272, 27388, 27501, 65231, 65297, 82260, 82414]"
165,"[4960, 5834, 5041, 5118, 5188, 32446, 27349, 27464, 27590, 27728, 65402, 65891, 65482]"
166,"[5016, 5090, 5163, 5238, 5303, 30649, 30760, 30881, 25878]"
167,"[5065, 25430, 25558, 25693, 64684, 64749]"
168,"[5084, 5156]"
169,"[5140, 5998, 5215]"
170,"[5253, 5328, 5409, 32819, 31091, 32940, 31225, 27970, 28089]"
171,"[5266, 5338, 5418, 30968, 31098, 31233, 26156, 27871, 26257, 27990, 26364, 28102]"
172,"[6350, 5442, 6421, 5511, 6487, 5582, 6562, 5651, 6629, 5716, 28634, 28705, 28773, 28843, 66071, 66585, 66122, 66637, 66170, 82858, 82857, 94509, 94633]"
173,"[6358, 5444, 6433, 5520, 6505, 6582]"
174,"[104421, 5475, 5548]"
175,"[104452, 5495, 28433, 28494, 28559, 53697, 82597, 94433]"
176,"[5498, 5571, 5641, 5710, 5771, 28689, 26976, 28759, 28828, 28899, 66104, 66153, 66205, 82697, 94523]"
177,"[5502, 5647, 5719, 28708, 28780, 66036, 66090, 82641, 94487]"
178,"[5557, 5631, 5700, 5758, 5817, 28741, 27038, 28808, 27117, 28879, 27189, 28991, 27297, 65621, 65670, 65734, 82541]"
179,"[5728, 6706, 5788, 6766, 5855, 6839, 5922, 28850, 28956, 29074, 29197, 66209, 66290, 66373, 82743]"
180,"[5779, 5846, 5913, 5984, 28933, 27239, 29048, 27363, 29171, 27477, 27604, 65741, 65824, 65923]"
181,"[6740, 5826, 6809, 5894, 6883, 5962, 6973, 6040, 7047]"
182,"[5828, 5895, 5966, 6043, 6122, 34063, 34140, 29142, 29269, 29398, 29527, 66388, 66475]"
183,"[6794, 5886, 6875, 5954]"
184,"[6798, 5888, 6881, 5956, 6970, 6038, 7046, 6116, 35783, 35877, 29144, 30896, 29270, 29401, 29532, 66967, 67073]"
185,"[5931, 6929, 6007, 7019, 6086, 7085, 6170, 7150, 6267, 35858, 34122, 35967, 36105, 29352, 29482, 29586, 29713]"
186,"[6853, 5933, 6933, 6012, 7023, 6093, 7097]"
187,"[5989, 6071, 6151, 6253, 6344, 35955, 34216, 34324, 34433, 29463, 29571, 29691]"
188,"[6914, 5995, 6076, 6157, 6256]"
189,"[5999, 7007, 6081, 6162]"
190,"[6926, 6000, 7016, 6082, 7082, 6163, 7148, 6261, 35961, 36101, 29343, 29475, 29580, 29706, 29821]"
191,"[6003, 6084, 6166, 6263]"
192,"[6063, 6138, 6235, 6333, 34313, 34421, 34564, 29549, 29669, 29779]"
193,"[6996, 6068, 7067, 6146, 7134, 6246, 6340, 35954, 34215, 36089, 34322, 36230, 34430, 29465, 29573, 29694, 29816]"
194,"[6179, 7157, 35864, 35973, 36115]"
195,"[105128, 6388, 6458, 30152, 30229, 30315, 30392, 54028, 53877, 67124, 66539, 82976, 83011, 94719, 245014, 249239]"
196,"[105147, 6397, 7265, 7346]"
197,"[105129, 6403, 7271]"
198,"[6410, 6480, 6552, 6620, 6684, 30400, 30476, 30557, 30632, 67206, 66619, 66689, 66760, 83066, 94793]"
